鄉鎮市區,交易標的,臨路,土地移轉坪數,都市土地使用分區,總樓層,頂樓註記,屋齡,建物移轉坪數,管理組織,車位總面積,單價,車位總價
大社區,房地(土地+建物),N,1.95,住宅區,19,N,25.5,12.23,Y,0,6.5,0
三民區,房地(土地+建物)+車位,Y,5.88,住宅區,15,N,13.3,40.6,Y,8.41,14,0
左營區,房地(土地+建物),Y,7.32,住宅區,14,N,19.4,45.87,Y,0,12.5,0
左營區,房地(土地+建物)+車位,Y,4.21,住宅區,14,N,20.7,41.53,Y,0,14.7,0
前鎮區,房地(土地+建物)+車位,Y,5.58,住宅區,18,N,2.1,57.18,Y,4.22,25.2,175
楠梓區,房地(土地+建物),Y,3.74,住宅區,15,N,5,22.22,Y,0,17.3,0
前鎮區,房地(土地+建物)+車位,Y,4.47,商業區,15,N,0.4,42.79,Y,0,16.8,0
鼓山區,房地(土地+建物)+車位,Y,5.02,住宅區,29,N,0.6,67.51,Y,6.3,28.6,160
鳳山區,房地(土地+建物),Y,5.48,住宅區,14,N,20.4,43.52,Y,0,13.5,0
鼓山區,房地(土地+建物)+車位,Y,6.28,住宅區,28,N,4.8,110.36,Y,11.1,28.3,0
鳳山區,房地(土地+建物)+車位,Y,10.02,住宅區,15,N,5.4,56.25,Y,0,17.2,0
前鎮區,房地(土地+建物)+車位,Y,4.47,商業區,15,N,0.4,42.79,Y,0,17.9,0
左營區,房地(土地+建物),N,7.56,住宅區,14,N,19.4,47.31,Y,0,11.6,0
鼓山區,房地(土地+建物)+車位,Y,5.8,住宅區,29,N,0.6,74.94,Y,12.59,30.2,320
鳳山區,房地(土地+建物)+車位,Y,6.01,住宅區,15,N,6.1,35.06,Y,0,15.2,0
苓雅區,房地(土地+建物)+車位,Y,6.36,商業區,14,N,20.7,84.74,Y,0,17.2,0
鼓山區,房地(土地+建物)+車位,Y,3.52,商業區,14,N,13.4,38.04,Y,2.54,22.3,70
三民區,房地(土地+建物)+車位,Y,4.46,住宅區,14,N,22,43.14,Y,5.92,15.9,130
鳳山區,房地(土地+建物)+車位,Y,7.78,住宅區,15,Y,7.9,44.39,Y,0,14.3,0
鼓山區,房地(土地+建物)+車位,Y,4.35,住宅區,15,N,6.8,44.36,Y,0,20.7,0
鼓山區,房地(土地+建物),Y,6.48,住宅區,14,Y,16.8,54.92,Y,0,15.4,0
鳳山區,房地(土地+建物),Y,8.16,住宅區,16,N,25,49.15,Y,0,12.6,0
三民區,房地(土地+建物)+車位,N,7.76,住宅區,15,N,5.1,49.56,Y,0,24.9,0
鳳山區,房地(土地+建物)+車位,Y,6.66,住宅區,15,N,2.9,38.26,Y,7.42,15.1,0
苓雅區,房地(土地+建物)+車位,Y,6.93,住宅區,15,N,0.9,66.48,Y,8.18,22.1,0
左營區,房地(土地+建物)+車位,Y,3.91,住宅區,26,N,19.3,59.36,Y,10.77,16.8,0
楠梓區,房地(土地+建物)+車位,Y,3.31,住宅區,19,N,0.6,37.29,Y,2.4,16.7,46
三民區,房地(土地+建物),N,2.51,商業區,29,N,0.8,32.05,Y,0,25.8,0
鼓山區,房地(土地+建物),Y,5.35,住宅區,11,N,36.9,25,Y,0,13.2,0
鳥松區,房地(土地+建物)+車位,N,6.12,住宅區,23,N,22.5,57.03,Y,0,12.6,0
鼓山區,房地(土地+建物)+車位,Y,4.52,住宅區,13,N,13.6,33,Y,0,20,0
鼓山區,房地(土地+建物),Y,4.85,商業區,14,N,29.3,43.49,Y,0,12.9,0
楠梓區,房地(土地+建物),N,6,住宅區,11,N,26.2,31.51,Y,0,9.7,0
左營區,房地(土地+建物)+車位,Y,9.14,住宅區,15,N,1.8,88.94,Y,17.64,27.1,420
鼓山區,房地(土地+建物)+車位,Y,8.61,住宅區,15,N,8.2,70.93,Y,7.85,15.2,0
鼓山區,房地(土地+建物)+車位,Y,8.55,住宅區,29,N,2.1,99.67,Y,16.34,30,380
左營區,房地(土地+建物)+車位,Y,7.05,住宅區,12,N,1.9,51.57,Y,0,19.5,0
鳳山區,房地(土地+建物),Y,9.09,住宅區,12,N,19.2,49.02,Y,0,11.1,0
鳳山區,房地(土地+建物),Y,3.28,住宅區,15,N,7.8,23.11,Y,0,21.6,0
左營區,房地(土地+建物)+車位,Y,10.16,住宅區,28,N,3.9,132.06,Y,15.63,30,440
鼓山區,房地(土地+建物),Y,1.84,商業區,15,N,10.3,19.08,Y,0,19.4,0
苓雅區,房地(土地+建物)+車位,Y,8.73,商業區,15,N,1.6,72.55,Y,10.69,25.4,0
鼓山區,房地(土地+建物)+車位,Y,5.26,商業區,14,N,15.2,62.66,Y,15.28,19.6,0
鳳山區,房地(土地+建物)+車位,Y,8.07,住宅區,15,N,4.3,43.5,Y,0,18.7,0
鳳山區,房地(土地+建物)+車位,Y,5.38,住宅區,15,N,0.8,30.59,Y,0,21.6,0
左營區,房地(土地+建物),Y,3.91,商業區,12,N,22.6,40.49,Y,0,14.5,0
鳳山區,房地(土地+建物)+車位,Y,12.46,住宅區,23,N,5.2,88.6,Y,5.48,19.5,0
左營區,房地(土地+建物),Y,3.23,住宅區,14,N,0.8,30.59,Y,0,22.3,0
左營區,房地(土地+建物)+車位,Y,3.82,商業區,28,N,1.3,70.93,Y,10.06,22.8,0
鼓山區,房地(土地+建物),Y,5.3,住宅區,14,N,14.1,39.95,Y,0,17.4,0
三民區,房地(土地+建物)+車位,N,5.14,商業區,15,N,10,48.4,Y,6.29,17.6,0
鳳山區,房地(土地+建物)+車位,Y,5.94,住宅區,15,N,2.9,34.36,Y,0,15.3,0
前鎮區,房地(土地+建物)+車位,Y,3.99,商業區,15,N,5,42.73,Y,0,18.5,0
新興區,房地(土地+建物)+車位,Y,4.81,商業區,29,N,1,95.34,Y,11.53,30.3,0
鼓山區,房地(土地+建物)+車位,Y,4.58,住宅區,15,N,12.8,36.83,Y,4.69,22.1,0
左營區,房地(土地+建物)+車位,Y,4.16,住宅區,15,N,11.5,39.35,Y,0,14.7,0
三民區,房地(土地+建物)+車位,Y,6.92,住宅區,15,N,7.4,45.9,Y,0,23.6,0
小港區,房地(土地+建物)+車位,Y,6.08,住宅區,11,N,4.2,54.22,Y,8.65,13.1,0
前鎮區,房地(土地+建物)+車位,Y,5.41,商業區,15,N,13.1,53.36,Y,10.55,19.7,0
左營區,房地(土地+建物)+車位,Y,4.16,住宅區,15,N,11.5,39.35,Y,0,15.5,0
三民區,房地(土地+建物),Y,2.31,商業區,12,N,26.9,26.73,N,0,11.2,0
