鄉鎮市區,臨路,都市土地使用分區,屋齡,管理組織,單價,車位總價
鳳山區,Y,住宅區,5.8,Y,21,0
楠梓區,Y,商業區,1.5,Y,16.7,0
左營區,Y,住宅區,12.7,Y,15.1,0
鳳山區,Y,住宅區,1.8,Y,20.1,0
鼓山區,Y,住宅區,15.7,Y,20,0
鳳山區,Y,商業區,22.4,Y,13.5,0
仁武區,Y,住宅區,2.3,Y,17.1,0
左營區,Y,住宅區,1.2,Y,26.9,660
橋頭區,Y,住宅區,3.5,Y,15,0
岡山區,N,住宅區,13.2,Y,12.5,0
楠梓區,Y,商業區,1.2,Y,17.3,0
鳳山區,Y,住宅區,3.8,Y,18,0
鹽埕區,Y,商業區,0.7,Y,19.4,0
前鎮區,Y,住宅區,22.2,Y,13.8,0
鳳山區,Y,住宅區,11.3,Y,13.3,0
前金區,Y,商業區,22.8,Y,17.1,0
前金區,Y,商業區,9.1,Y,30.3,250
左營區,N,住宅區,11.3,Y,15.9,0
林園區,Y,住宅區,24.2,Y,6.7,0
鳳山區,Y,住宅區,3.8,Y,12.3,0
三民區,Y,住宅區,19.8,Y,13.5,0
鼓山區,Y,住宅區,0.6,Y,29.3,420
三民區,Y,商業區,26.4,Y,11.3,0
鼓山區,Y,商業區,14.1,Y,21,0
苓雅區,Y,商業區,0.8,Y,24.7,0
鼓山區,Y,商業區,0.8,Y,28.4,0
楠梓區,Y,住宅區,3.7,Y,18.8,138
前鎮區,Y,其他,0.7,Y,28.5,0
三民區,Y,商業區,13.8,Y,17.3,0
橋頭區,Y,商業區,0.6,Y,19,72
三民區,N,住宅區,25.8,Y,14.3,0
三民區,Y,住宅區,25.2,N,8.3,0
小港區,Y,住宅區,24.5,Y,9.2,0
苓雅區,Y,商業區,11.9,Y,25.6,0
三民區,Y,住宅區,2.7,Y,22.2,0
左營區,Y,住宅區,0.8,Y,23.9,0
楠梓區,N,商業區,15.8,Y,13.2,0
左營區,Y,住宅區,23.8,Y,12.5,0
橋頭區,Y,住宅區,0.3,Y,17.8,0
前鎮區,Y,商業區,12.2,Y,21,0
橋頭區,Y,商業區,0.6,Y,18.6,72
鼓山區,Y,住宅區,28.3,Y,14,0
鳳山區,Y,住宅區,7.1,Y,13.2,0
楠梓區,Y,住宅區,0.2,Y,19,0
鼓山區,Y,商業區,23.7,Y,16.4,0
三民區,N,住宅區,20.1,Y,12.9,0
橋頭區,Y,住宅區,0.3,Y,18.2,0
楠梓區,Y,商業區,1.2,Y,15.9,0
左營區,N,住宅區,11.3,Y,14.8,0
三民區,Y,商業區,5.7,Y,18.7,0
左營區,Y,商業區,18.1,Y,17.1,0
左營區,Y,商業區,3.3,Y,20.3,70
前鎮區,Y,住宅區,11.3,N,27.1,0
橋頭區,Y,住宅區,0.3,Y,17.9,0
新興區,Y,商業區,20.9,Y,14.4,0
橋頭區,Y,住宅區,0.3,N,17.1,0
橋頭區,Y,住宅區,0.3,Y,17.8,0
楠梓區,Y,住宅區,2.3,Y,18.2,115
三民區,N,住宅區,3.5,N,19.9,0
橋頭區,Y,住宅區,0.3,Y,18,0
橋頭區,Y,商業區,0.6,Y,15.3,72
鼓山區,Y,住宅區,11.3,Y,20.6,0
楠梓區,N,住宅區,25,Y,10.2,0
鳳山區,Y,住宅區,1.1,Y,26.2,0
前鎮區,Y,住宅區,2.1,Y,26.2,185
楠梓區,Y,住宅區,24.8,N,8,0
三民區,Y,住宅區,4.9,Y,18.8,0
楠梓區,Y,商業區,1.5,Y,15.2,0
鼓山區,Y,住宅區,14.2,Y,17.4,0
前鎮區,Y,商業區,28.9,Y,13.5,0
三民區,N,住宅區,7.1,Y,17.9,0
鼓山區,Y,商業區,11.5,Y,25,0
鳳山區,Y,住宅區,24.5,Y,10,0
左營區,Y,住宅區,23.8,Y,12.2,0
三民區,N,住宅區,15.6,Y,16.1,0
左營區,Y,住宅區,0.8,Y,23.7,0
鼓山區,Y,商業區,0.8,Y,27,0
楠梓區,Y,商業區,4.3,Y,14.9,0
三民區,Y,住宅區,25.1,Y,15.6,0
三民區,N,商業區,20.8,Y,12.3,0
前鎮區,Y,其他,0.7,Y,29.5,0
鼓山區,Y,住宅區,0.6,Y,28.4,320
岡山區,Y,住宅區,26,Y,11.9,0
苓雅區,Y,商業區,1.7,Y,29.6,0
左營區,Y,住宅區,11.3,Y,13.2,0
鳳山區,Y,住宅區,23.8,Y,17.1,0
鼓山區,Y,商業區,15.4,Y,16.3,0
三民區,N,商業區,0.8,Y,22,0
鼓山區,Y,商業區,13.4,Y,25.8,0
楠梓區,N,商業區,6.2,Y,15,0
左營區,Y,其他,33.7,Y,8.6,0
鳳山區,Y,住宅區,1.3,Y,20.5,0
苓雅區,Y,商業區,1.6,Y,23.3,0
鼓山區,Y,住宅區,15.2,Y,18.4,0
左營區,Y,商業區,5.3,Y,22.2,0
三民區,N,商業區,18.3,Y,15.2,0
楠梓區,Y,住宅區,13.6,Y,12.3,0
楠梓區,Y,商業區,6.6,Y,16.2,0
左營區,Y,住宅區,0.3,Y,20.2,0
新興區,Y,住宅區,25.3,Y,12,0
岡山區,Y,住宅區,23.7,N,8.8,0
小港區,Y,商業區,5.3,Y,15.9,0
左營區,Y,住宅區,1.4,Y,25.7,100
三民區,Y,住宅區,22.3,Y,14.3,0
左營區,Y,住宅區,21.4,Y,25.8,0
左營區,Y,住宅區,1.4,Y,25.7,100
三民區,Y,住宅區,24.6,N,17,0
三民區,Y,住宅區,26.4,Y,11.4,0
鼓山區,Y,住宅區,0.5,Y,23.3,386
鳳山區,Y,商業區,2,Y,22.4,0
鳳山區,N,住宅區,22.9,Y,14.7,0
左營區,Y,住宅區,0.8,Y,23.5,0
左營區,Y,住宅區,20.2,Y,20.1,0
鼓山區,Y,住宅區,15.7,Y,42.6,0
左營區,Y,商業區,0.6,Y,31.6,150
前鎮區,Y,住宅區,28,N,14.4,0
鼓山區,Y,商業區,13.7,Y,20.3,150
橋頭區,Y,住宅區,9.3,Y,13.4,0
鳳山區,Y,住宅區,1.8,Y,20.3,0
苓雅區,Y,商業區,27.8,Y,15.4,0
三民區,Y,商業區,14.1,Y,17.4,0
鳳山區,N,住宅區,26.1,Y,11.5,0
前金區,Y,商業區,10.4,Y,20.8,0
前鎮區,Y,商業區,15.1,Y,21.2,0
左營區,Y,商業區,1.3,Y,24.3,0
楠梓區,Y,商業區,1.5,Y,14.1,0
左營區,Y,商業區,1.3,Y,23,0
三民區,Y,住宅區,4.9,Y,20.3,0
苓雅區,N,商業區,22.3,Y,11.4,0
楠梓區,Y,住宅區,3.7,Y,17.4,133
鼓山區,Y,商業區,27.9,Y,14.1,0
鳳山區,Y,商業區,23.2,Y,18.1,0
楠梓區,N,其他,22.5,Y,9.3,0
新興區,Y,商業區,2.3,Y,19.4,0
前鎮區,Y,商業區,0.2,Y,24.9,150
三民區,N,商業區,0.8,Y,19.5,0
三民區,Y,住宅區,25.7,Y,15.7,0
三民區,Y,住宅區,25.2,Y,12.5,0
楠梓區,N,住宅區,20.5,N,11.7,0
鳳山區,N,住宅區,21.2,Y,18.4,0
大寮區,Y,住宅區,24.4,N,8.6,0
左營區,Y,其他,6.7,Y,21.2,165
鼓山區,Y,商業區,13.3,N,23.1,0
鼓山區,Y,住宅區,15.6,Y,14.9,0
三民區,Y,住宅區,4.9,Y,19.2,0
前鎮區,Y,住宅區,23.6,Y,14.4,0
前鎮區,Y,商業區,26.3,N,10,0
三民區,Y,商業區,9.7,Y,18.5,0
鳳山區,Y,住宅區,23.8,Y,10.5,0
左營區,Y,住宅區,8.2,Y,22.2,0
左營區,Y,商業區,14.4,Y,15.9,0
鼓山區,Y,住宅區,6.1,Y,23,0
苓雅區,Y,商業區,0.8,Y,23.9,0
大樹區,Y,住宅區,23.6,Y,8.1,0
鳳山區,Y,商業區,25.5,Y,13.4,0
左營區,Y,住宅區,21.3,Y,14.4,0
三民區,Y,住宅區,25,Y,12.4,0
苓雅區,Y,商業區,0.4,Y,20.5,200
鼓山區,Y,商業區,0.8,Y,28,0
三民區,Y,住宅區,4.9,Y,19.2,0
三民區,Y,商業區,6.7,Y,19.3,0
前鎮區,N,商業區,25.1,N,11.7,0
左營區,Y,住宅區,25.7,Y,14.4,0
鼓山區,Y,住宅區,24.2,Y,16.1,0
楠梓區,Y,住宅區,4.7,Y,17,0
楠梓區,N,住宅區,8.2,Y,17.4,0
楠梓區,Y,住宅區,0.2,Y,23.2,0
大寮區,Y,住宅區,25.6,Y,11.2,0
楠梓區,Y,商業區,1.2,Y,17.7,0
楠梓區,Y,住宅區,18.9,Y,10.6,0
鳳山區,Y,住宅區,7.9,Y,16.2,0
左營區,Y,商業區,7.2,Y,23.2,0
鼓山區,Y,住宅區,15.6,Y,16.2,0
左營區,Y,住宅區,0.3,Y,20.2,0
鼓山區,Y,住宅區,23.4,Y,16.2,0
三民區,Y,住宅區,4.9,Y,18.9,0
楠梓區,Y,商業區,1.5,Y,15.1,0
左營區,Y,商業區,0.6,Y,31.4,160
小港區,N,住宅區,27,Y,12.5,0
楠梓區,N,商業區,6.2,Y,17.1,0
三民區,Y,商業區,4.7,Y,20,0
三民區,Y,商業區,22.8,Y,14.1,0
楠梓區,Y,住宅區,2.3,Y,19.7,130
三民區,Y,商業區,19.4,Y,12.6,0
